GovernmentName,CABPrincipalOutstanding,CABInterestOutstanding,CABDebtService
Leander ISD,26687418.4,509370212.9,536057631.3
Wylie ISDa,68930139.95,141164860.05,210095000.0
Ennis ISD,31414619.85,152160380.15,183575000.0
Frisco ISD,20933256.7,148681743.3,169615000.0
Forney ISD,21004911.1,141635088.9,162640000.0
Galena Park ISD,16496170.7,80723829.3,97220000.0
DeSoto ISD,17513605.75,53231394.25,70745000.0
Schertz-Cibolo-U City ISD,16130611.65,52134388.35,68265000.0
White Settlement ISD,3203138.65,63856861.35,67060000.0
Coppell ISD,8350193.73,54079806.27,62430000.0
Ysleta ISD,557966.2,53117033.8,53675000.0
Rockwall ISD,588984.55,52318515.45,52907500.0
Judson ISD,13054085.45,34515914.55,47570000.0
Cedar Hill ISD,3062798.45,41837201.55,44900000.0
Weatherford ISD,7807905.05,36912094.95,44720000.0
